frs_id,facility_name
110000549513,PELICAN REFINING CO LLC
110001716028,VULCAN REFINING CO
110018948763,SUNLAND REFINING CORPORATION
110000464006,PREMCOR REFINING GROUP INC PORT ARTHUR
110037144220,SCOTT BIODIESEL/GREENVILLE TERMINAL
110000620882,AMOCO OIL CO  CASPER REFINERY
110002142066,NEWHALL REFINING CO INC
110000448837,VALERO REFINING - MERAUX LLC MERAUX REFINERY
110006113062,VENTURA REFINING & TRANSMISSION
110000446116,EL PASO MERCHANT ENERGY PETROLEUM CO
110000599576,MOTIVA PORT NECHES TERMINAL
110000463196,DOW HALTERMANN PLANT 2
110000913218,PENNZOIL PRODUCTS CO ROOSEVELT REFINERY
110000374087,VALERO REFINING CO - TENNESSEE LLC
110041133163,PHILLIPS 66 CO-BAYWAY REFINERY
110001148598,DELAWARE CITY REFINERY
110000497793,PHILLIPS 66 CO SAN BERNARD TER MINAL
110000414613,FLINT HILLS RESOURCES PINE BEND LLC DUBUQUE
110017866727,COUNTRYMARK REFINING & LOGISTICS LLC
110067041187,CALUMET LUBRICANTS CO ROUSEVILLE PLANT
110031018556,INEOS POLYPROPYLENE LLC
110000468921,BIG WEST OIL LLC
110042054317,AMERADA HESS CORP PURVIS TERMINAL
110042255234,ANTELOPE REFINING
110069446068,COLORADO REFINING CO
110000316104,PURIFICATION TECHNOLOGIES INC
110000475940,PARAMOUNT PETROLEUM CORP
110000358069,ELROY TURPENTINE CO
110007108619,PETRO SOURCE RESOURCES CORP VICKSBURG MS REFINERY
110000408050,TPI PETROLEUM INC
110000781039,SUNBELT REFINING CO
110000464140,LNVA-NORTH REGIONAL TREATMENT PLANT
110041135580,MARATHON PETROLEUM CO LP
110001444884,FLINT HILLS RESOURCES PINE BEND LLC ST PAUL
110000583850,INTERNATIONAL WAXES INC
110000369501,GULF ATLANTIC OPERATIONS LLC
110000500798,ALON ASPHALT CO RICHMOND BEACH ASPHALT TERMINAL
110000332220,AMERICAN REFINING GROUP INC
110000401440,LAKETON REFINING CORP
110000460885,VALERO REFINING - TEXAS LP HOUSTON REFINERY
110069446148,PETRO SOURCE REFINING PARTNERS  EAGLE SPRINGS REFINERY
110000336440,MONROE ENERGY LLC-TRAINER REFINERY
110000505640,CITGO REFINING & CHEMICALS CO LP EAST PLANT
110000826358,PRIMARY CORP
110058113704,HOUSTON REFINING LP
110007403684,LOUISIANA LAND & EXPLORATION MOBILE RIVER TERMINAL
110013831201,SHELL NORCO CHEMICAL PLANT EAST SITE
110000367175,MERICHEM CO
110000427119,FLINT HILLS RESOURCES PINE BEND LLC MARSHALL
110000620864,ST MARYS REFINING CO
110000476057,ULTRAMAR INC MARINE TERMINAL
110028042188,BLANCHARD REFINING CO LLC
110010534261,TOLEDO REFINING CO LLC
110008214360,SHELL OIL PRODUCTS US - PUGET SOUND REFINERY
110000367102,HUNT REFINING CO A CORP
110041977162,PETRO STAR VALDEZ REFINERY
110002899908,CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC
110012509071,SHELL CHEMICAL LP (MOBILE SITE )
110010710882,BOOTH OIL CO
110064365690,PHILLIPS 66  - ALLIANCE REFINERY
110010983864,WEST PENN OIL CO INC130130
110000562490,CARGILL INC
110000336994,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY
110040961705,PREMCOR HARTFORD DISTRIBUTION CENTER
110008471956,PUMA ENERGY CARIBE LLC
110000748095,HUNTSMAN PETROCHEMICAL LLC
110000746809,SUPERIOR FIBERGLASS & RESINS
110056963745,BUCKEYE PORT READING TERMINAL LLC
110000454348,BAKER PETROLITE LLC
110024422472,COLONIAL TANK FARM
110017413299,TESORO ALASKA - KENAI REFINERY
110001805486,SEMMATERIALS  L.P. - BOISE
110002047589,ARCADIA REFINING CO.
110017300678,BP NAPERVILLE CAMPUS
110041962873,WOOD RIVER REFINERY
110000376575,ERGON REFINING INC
110000469485,CHEVRON PRODUCTS CO - SALT LAKE REFINERY
110000476235,PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT
110028187049,BP AMOCO CHEMICAL COMPANY
110000606746,VALERO REFINING CO -OKLAHOMA VALERO ARDMORE REFINERY
110007182360,PHILLIPS 66 CO SWEENY REFINERY COMPLEX
110001132621,SEAPORT PETROLEUM CORP
110000448659,VALERO REFINING - NEW ORLEANS LLC
110000912683,WESTERN SLOPE REFINING CO
110056967368,MARATHON PETROLEUM CO LP
110000483254,SHELL CHEMICAL CO MARTINEZ CATALYST PLANT
110043815690,UNITED REFINING CO
110000597337,CONVENT REFINERY
110000481817,SANTA MARIA REFINERY (DBA GREKA ENERGY )
110000504918,FLINT HILLS RESOURCES CORPUS CHRISTI LLC - WEST PLANT
110011912608,GULF CHEMICAL CORP
110038173981,FLINT HILLS RESOURCES CORPUS CHRISTI LLC - EAST PLANT
110000465719,DIAMOND SHAMROCK REFINING CO LP
110000449505,CALCASIEU REFINING CO
110011142566,ENTERPRISE PRODUCTS OPERATING LLC
110011942719,SINCLAIR CASPER REFINING CO
110000600378,SILVER EAGLE REFINING-EVANSTON
110040985556,CHEMOIL SIGNAL HILL REFINERY
110000447384,LAND O'LAKES PURINA FEED LLC - FREMONT
110000606933,INEOS USA LLC - CHOCOLATE BAYOU PLANT
110000469243,TESORO REFINING & MARKETING CO LLC
110000830986,FLETCHER OIL & REFINING CO
110000465103,VALERO REFINING-TEXAS LP CORPUS CHRISTI WEST PLANT
110002125717,CALUMET LUBRICANTS CO CALUMET BURNHAM TERMINAL
110002465733,CHEVRON USA INC.  ALASKA REFY.
110000605248,HUNT SOUTHLAND REFINING CO LUMBERTON
110000449970,EXXONMOBIL CHEMICAL BATON ROUGE CHEMICAL PLANT (PART)
110000490157,BP CHERRY POINT REFINERY
110000321189,AXEON REFINING LLC
110013703206,COFFEYVILLE RESOURCES REFINING & MARKETING
110000465513,HUNTSMAN PETROCHEMICAL CORPORATION
110014423659,PENNZOIL-QUAKER STATE (DBA SOPUS PRODUCTS)
110017407153,TRICOR REFINING LLC
110000446134,HOLLYFRONTIER EL DORADO REFINING LLC
110019643411,COMMANDER TERMINALS LLC
110000476315,EDGINGTON OIL CO
110000476413,CHEMOIL TERMINALS CORP
110069447021,CONOCOPHILLIPS SANTA MARIA FACILITY CARBON PLANT
110025330620,MOTIVA-PORT ARTHUR TERMINAL
110000481684,SAN JOAQUIN REFINING CO INC.
110032885723,SUNOCO LLC-RACE FUELS
110000475263,EXXONMOBIL OIL CORP - TORRANCE REFINERY
110000482772,HUNTWAY REFINING CO
110000464462,VALERO THREE RIVERS REFINERY
110000377477,CHEVRON PRODUCTS CO PASCAGOULA REFINERY
110000464024,MOTIVA-PORT ARTHUR REFINERY
110000914093,UNOCAL CORP PARACHUTE CREEK SHALE OIL
110000472630,HOLLYFRONTIER NAVAJO REFINING LLC - ARTESIA REFINERY
110015682830,PHILLIPS 66 PONCA CITY SITE
110016678969,CHS MCPHERSON REFINERY
110000597319,TOTAL PETROCHEMICALS & REFININ USA INC CARVILLE POLYSTYRENE
110001694505,EQUILON ENTERPRISES LLC PHOENIX TRANSMIX FACILITY
110000448864,MOTIVA ENTERPRISES LLC NORCO REFINERY
110020506460,CHEVRON PRODUCTS CO RICHMOND REFINERY
110000481755,PHILLIPS 66 CO-SANTA MARIA REFINERY
110000582101,SPMT-EAGLE POINT TANK FARM
110000746658,ULTRAMAR INC WILMINGTON REFINERY
110032913024,SUNCOR ENERGY COMMERCE CITY REFINERY
110000464854,CALUMET SAN ANTONIO REFINING LLC
110000424611,FLINT HILLS RESOURCES PINE BEND LLC
110000335940,CASTROL INDUSTRIAL WARMINSTER
110000595124,CHS INC  LAUREL REFINERY
110002134253,TEXACO INC RESEARCH & DEVELOPMENT
110000747568,KINDER MORGAN TRANSMIX CO LLC
110043804185,EXXONMOBIL REFINING & SUPPLY BATON ROUGE REFINERY (PART)
110000499069,SILVER EAGLE REFINING WOODS CROSS
110008060891,ASSOCIATED NATURAL GAS INC WILCOX PLANT
110000597499,CALUMET LUBRICANTS CO LP
110037225062,GULF ATLANTIC OPERATIONS LLC
110002465662,CIBRO PETROLEUM PRODUCTS INC
110001187144,LUNDAY-THAGARD CO DBA WORLD OIL REFINING
110001148099,FLYING J INC
110000600886,HOLLYFRONTIER NAVAJO REFINING LLC - LEA REFINERY
110022409035,CANAL REFINING CO.
110000468226,WYOMING REFINING CO
110000494983,HOLLYFRONTIER TULSA REFINING LLC EAST FACILITY
110000842937,PRIMARY CORP
110033145353,VALERO REFINING CO-CALI FORNIA BENICIA REFINERY
110001383182,COASTAL REFINING & MARKETING  KS REFINING DIV
110000713728,JAVELINA CO
110007296942,DUBACH GAS CO.
110015679853,RAIN CII CARBON LLC LAKE CHARLES CALCINING PLANT (LCCP)
110000458488,DELEK TYLER REFINERY
110020516529,FORELAND REFINING CORP EAGLE SPRINGS REFINERY
110000468048,HOLLYFRONTIER CHEYENNE REFINING LLC
110000730718,CENCO REFINING CO
110041990913,EXXONMOBIL OIL BEAUMONT REFINERY
110012707801,VP RACING FUELS
110000462963,JX NIPPON CHEMICAL TEXAS INC
110017419667,LION OIL CO
110000613346,TOTAL PETROLEUM INC
110015848528,LANDMARK PETROLEUM INC
110045634774,CHALMETTE REFINING LLC
110041343070,ASPHALT REFINING & TECHNOLOGY CO LLC
110008169490,KOCH REFINING CO NO 2 TERMINAL
110000464097,SOUTH HAMPTON RESOURCES INC
110000465041,CITGO REFINING & CHEMICALS CO LP-WEST PLANT
110067041061,PENNZOIL-QUAKER STATE CO (DBA SOPUS PRODUCTS LALP)
110000449863,PLACID REFINING CO LLC
110001254375,CHEVRONTEXACO USED OIL RECYCLING PLANT
110000580915,BUCKEYE CARIBBEAN TERMINALS LLC (FORMER SCYI)
110002058380,MARCH POINT COGENERATION CO
110002118039,GENERAL OIL CO
110007236446,HUNT REFINING CO
110064016121,VALERO PARTNERS LA LLC- TERMINAL
110000483245,SHELL OIL PRODUCTS US-MARTINEZ REFINERY
110002129349,IDA GASOLINE CO INC
110064022481,EXXON CO EASTSIDE CHEMICAL PLANT
110000364178,INTERNATIONAL PETROLEUM CORP
110000490549,US OIL & REFINING CO
110042005843,PHILLLIPS 66 CO BORGER REFINERY
110000502901,EXXONMOBIL REFINING & SUPPLY BAYTOWN REFINERY
110000446465,EL PASO MERCHANT ENERGY-PETROLEUM CO
110000522818,KES KINGSBURG LP
110000448944,EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US
110001138876,AMERICAN WESTERN REFINING LP
110017428988,TESORO LOS ANGELES REFINERY-CARSON OPERATIONS
110000595339,EXXONMOBIL OIL CORP JOL IET REFINERY
110022294569,PAULSBORO REFINING CO LLC
110018936099,CHEVRON PORT ARTHUR LUBRICANTS PLANT
110000869828,KINDER MORGAN TRANSMIX CO LLC
110027982565,ERGON WEST VIRGINIA INC
110013763775,BP TEXAS CITY REFINERY DOCKS
110025239659,TESORO REFINING & MARKETING CO LLC
110000369583,ALABAMA BULK TERMINAL CO LLC
110041921034,PHILLIPS 66 CO FREEPORT I TERMINAL
110000755200,TOTAL PETROCHEMICALS & REFINING USA INC-PORT ARTHUR REFI
110000539757,PHILLIPS 66 LAKE CHARLES REFINERY
110017517392,COFFEYVILLE RESOURCES TERMINAL  LLC
110000469136,HOLLYFRONTIER WOODS CROSS REFINING LLC
110000385887,STP PRODUCTS MANUFACTURING CO
110020680789,PLAINS MARKETING LP YORKTOWN
110000486304,CHEVRON PRODUCTS CO-HAWAII REFINERY
110037848498,LAZARUS REFINERY LLC
110000453697,WYNNEWOOD REFINING CO
110000381113,CONTINENTAL REFINING CO LLC
110000501993,VALERO REFINING TEXAS LP CORPUS CHRISTI EAST PLANT
110001203527,SUN REFINING & MARKETING CO
110000424602,FLINT HILLS RESOURCES LP
110000590842,HUNT SOUTHLAND REFINING CO-SANDERSVILLE
110001129895,MARATHON OIL CO REFINERY
110000428500,CALUMET MONTANA REFINING LLC
110063235002,BUCKEYE TEXAS PROCESSING LLC-CORPUS CHRISTI
110000481611,KERN OIL & REFINING CO
110000490139,PHILLIPS 66 FERNDALE REFINERY
110000461287,JET-LUBE INC
110000476164,EQUILON CARSON TERMINAL
110002106658,CREATIONS BY CAROLE INC
110000439428,MARATHON PETROLEUM CO LP ILLINOIS REFINING DIV
110001187199,CHEMOIL SIGNAL HILL TERMINAL
110038160584,MARTIN OPERATING PTNR LP
110000602170,PHILLIPS 66 CO  JONES CREEK TERMINAL
110000329190,VALVOLINE CO INDUSTRIAL COATINGS  (TECTYL)
110038102969,PHILLIPS 66 LOS ANGELES REFINERY CARSON PLANT
110033659878,HONEYWELL INTERNATIONAL INC GEISMAR PLANT
110041023807,ALON REFINING KROTZ SPRINGS INC
110000451181,BERRY PETROLEUM CO
110033444850,PHILLIPS 66 PIPELINE LLC-BEAUMONT TERMINAL
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
