V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.COUNTY_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.FRS_ID,V_TRI_FORM_R_EZ.STATE_ABBR,V_TRI_FORM_R_EZ.TRI_FACILITY_ID
HALLETTSVILLE,LAVACA,ASSOCIATED NATURAL GAS INC WILCOX PLANT,110008060891,TX,77964SSCTD20MIS
WYNNEWOOD,GARVIN,WYNNEWOOD REFINING CO,110000453697,OK,73098KRRMC906SO
EL MIRAGE,MARICOPA,EQUILON ENTERPRISES LLC PHOENIX TRANSMIX FACILITY,110001694505,AZ,85335VLLYR12126
CONVENT,ST JAMES PARISH,CONVENT REFINERY,110000597337,LA,70723TXCRFFOOTO
WOODBINE,HOWARD,KINDER MORGAN OPERATING LP A,110000340587,MD,21797PRMRY929HO
SIGNAL HILL,LOS ANGELES,CHEMOIL SIGNAL HILL REFINERY,110040985556,CA,90806MCMLL2020W
SEVIERVILLE,SEVIER,CREATIONS BY CAROLE INC,110002106658,TN,37862CRTNS580HO
RICHMOND,HENRICO,PRIMARY CORP,110000842937,VA,23231PRMRY413BI
WEST SENECA,ERIE,KIANTONE PIPELINE CORP,110004480035,NY,1422WKNTNP55MEY
EL DORADO,BUTLER,EL PASO MERCHANT ENERGY PETROLEUM CO,110000446116,KS,67042CSTLD1835N
BENICIA,SOLANO,VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,110033145353,CA,94510XXNCS3400E
ANACORTES,SKAGIT,TESORO REFINING & MARKETING CO LLC,110000537250,WA,98221SHLLLWESTM
SAVANNAH,CHATHAM,EPIC MIDSTREAM LLC,110000740967,GA,31408MCLCMFOUND
HOOVEN,HAMILTON,CHEVRON USA INC,110001103859,OH,45033CHVRNINTER
ANACORTES,SKAGIT,SHELL OIL PRODUCTS US - PUGET SOUND REFINERY,110008214360,WA,98221PGTSN600ST
ROUSEVILLE,VENANGO,CALUMET LUBRICANTS CO ROUSEVILLE PLANT,110067041187,PA,16344PNNZL2MAIN
FRUITA,MESA,WESTERN SLOPE REFINING CO,110000912683,CO,81521WSTRN1193H
LONG BEACH,LOS ANGELES,TESORO LONG BEACH TERMINAL,110064125094,CA,90813TXCRF2050E
NORTH SALT LAKE,DAVIS,BIG WEST OIL LLC,110000468921,UT,84054BGWST333WE
LAKE CHARLES,CALCASIEU PARISH,CALCASIEU REFINING CO,110000449505,LA,70606CLCSRWESTE
CASPER,NATRONA,SINCLAIR CASPER REFINING CO,110011942719,WY,82609LTTLM5700E
LISBON,CLAIBORNE PARISH,ARCADIA REFINING CO.,110002047589,LA,71048CLBRNHWY23
BAYTOWN,HARRIS,EXXONMOBIL REFINING & SUPPLY BAYTOWN REFINERY (PART),110000502901,TX,77522XXNBY2800D
MARCUS HOOK,DELAWARE,SUNOCO LLC-RACE FUELS,110032885723,PA,19061SNRFNGREEN
TEXAS CITY,GALVESTON,MARATHON PETROLEUM CO LP (PART),110056967368,TX,77590MRTHNFOOTO
DEER PARK,HARRIS,SHELL CHEMICAL LP,110067040838,TX,77536SHLLLHIGHW
FREMONT,DODGE,LAND O'LAKES PURINA FEED LLC - FREMONT,110000447384,NE,68025FRMLN330EA
LAUREL,YELLOWSTONE,CHS INC  LAUREL REFINERY,110000595124,MT,59044CNXRF803HI
SUPERIOR,DOUGLAS,CALUMET SUPERIOR LLC,110000422962,WI,54880MRPHY24THA
WILMINGTON,LOS ANGELES,PHILLIPS 66 LOS ANGELES REFINERY MARINE TERMINAL,110000607371,CA,90744TSCRF150PI
PAINESVILLE,LAKE,STP PRODUCTS MANUFACTURING CO,110000385887,OH,44077FRSTB477LE
CLINTON,CLINTON,CLINTON BIODIESEL LLC,110024825055,IA,5273WNVBFL56444
SOMERSET,PULASKI,CONTINENTAL REFINING CO LLC,110000381113,KY,42501THSMR501RE
EL SEGUNDO,LOS ANGELES,CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC,110002899908,CA,90245CHVRN324WE
BAKERSFIELD,KERN,SAN JOAQUIN REFINING CO INC,110000481684,CA,93308SNJQN3542S
PLAQUEMINE,IBERVILLE PARISH,THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,110001244724,LA,70765THDWCHIGHW
MOBILE,MOBILE,GULF ATLANTIC OPERATIONS LLC,110037225062,AL,36601CSTLFHWY98
TRAINER,DELAWARE,MONROE ENERGY LLC-TRAINER REFINERY,110000336440,PA,19061BPLCMPOSTR
INDIANOLA,ALLEGHENY,KINDER MORGAN TRANSMIX CO LLC,110000747568,PA,15051MRCNRSTATE
SANTA FE SPRINGS,LOS ANGELES,CENCO REFINING CO,110000730718,CA,90670PWRLN12354
LONGVIEW,GREGG,LONGVIEW REFINING ASSOC INC,110002445612,TX,75604LNGVW601PR
ROSEMOUNT,DAKOTA,FLINT HILLS RESOURCES LP,110000424602,MN,55164KCHRFPOBOA
WILMINGTON,LOS ANGELES,ULTRAMAR INC WILMINGTON REFINERY,110000746658,CA,90748NNPCF2402E
NEDERLAND,JEFFERSON,PHILLIPS 66 PIPELINE LLC-BEAUMONT TERMINAL,110033444850,TX,77627NNLCMHWY36
YORKTOWN,YORK,PLAINS MARKETING LP YORKTOWN,110020680789,VA,23692MCLCM2201G
TEXAS CITY,GALVESTON,BP AMOCO CHEMICAL COMPANY,110028187049,TX,77590MCLCM24015
ROSEMOUNT,DAKOTA,FLINT HILLS RESOURCES PINE BEND LLC,110000424611,MN,55164KCHRFPOBOX
WICHITA,SEDGWICK,EL PASO MERCHANT ENERGY-PETROLEUM CO,110000446465,KS,67214DRBYR1100E
BATON ROUGE,EAST BATON ROUGE PARISH,EXXONMOBIL REFINING & SUPPLY BATON ROUGE REFINERY (PART),110043804185,LA,70805XXNBT4050S
CARVILLE,IBERVILLE PARISH,TOTAL PETROCHEMICALS & REFININ USA INC CARVILLE POLYSTYRENE,110000597319,LA,70721FNLCHLAHWY
TULSA,TULSA,HOLLYFRONTIER TULSA REFINING WEST FACILITY,110000454981,OK,74107SNRFN1700S
TYLER,SMITH,DELEK TYLER REFINERY,110000458488,TX,75702LGLRL1702E
CARSON,LOS ANGELES,INEOS POLYPROPYLENE LLC,110031018556,CA,90749RCPRD1801A
SAN ANTONIO,BEXAR,CALUMET SAN ANTONIO REFINING LLC,110000464854,TX,78223HWLLH7811S
CATLETTSBURG,BOYD,CATLETTSBURG REFINING LLC,110008361263,KY,41114CTLTTPOBOX
PASCAGOULA,JACKSON,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,110000377477,MS,39567CHVRNPOBOX
LEMONT,WILL,CITGO PETROLEUM CORP LEMONT REFINERY,110000595348,IL,60439NCLCR135TH
COMMERCE CITY,ADAMS,COLORADO REFINING CO,110069446068,CO,80022CLRDR5800B
CORPUS CHRISTI,NUECES,GRAVITY MIDSTREAM CORPUS CHRISTI LLC,110002345249,TX,78409TRFNR6600U
BLOOMFIELD,SAN JUAN,WESTERN REFINING BLOOMFIELD TERMINAL,110000600840,NM,87413BLMFLNO50C
CARVILLE,ASCENSION PARISH,HONEYWELL INTERNATIONAL INC GEISMAR PLANT,110033659878,LA,70734LLDSGHWY31
SIGNAL HILL,LOS ANGELES,CHEMOIL SIGNAL HILL TERMINAL,110001187199,CA,90806CHMLR1724E
JONES CREEK,BRAZORIA,PHILLIPS 66 CO  JONES CREEK TERMINAL,110000602170,TX,77480PHLLPSH36S
CASPER,NATRONA,AMOCO OIL CO  CASPER REFINERY,110000620882,WY,82602MCLCM1707W
TACOMA,PIERCE,US OIL & REFINING CO,110000490549,WA,98421SLRFN3001M
NEWHALL,LOS ANGELES,NEWHALL REFINING CO INC,110002142066,CA,91321NWHLL22674
BAKERSFIELD,KERN,ALON PETROLEUM BAKERSFIELD REFINERY AREA 3,110000526805,CA,93308TXCRF3663G
ELY,NYE,FORELAND REFINING CORP EAGLE SPRINGS REFINERY,110020516529,NV,89301FRLNDHC34B
GALENA PARK,HARRIS,KINDER MORGAN CRUDE & CONDENSATE LLC,110069234661,TX,7754WKNDRM47CLI
SALT LAKE CITY,SALT LAKE,TESORO REFINING & MARKETING CO LLC,110000469243,UT,84103MCLCM474WE
SMACKOVER,UNION,MARTIN OPERATING PTNR LP,110038160584,AR,71762CRSSLPOBOX
WARREN,WARREN,UNITED REFINING CO,110043815690,PA,16365NTDRFPOBOX
LINDEN,UNION,PHILLIPS 66 CO-BAYWAY REFINERY,110041133163,NJ,07036XXNXX1400P
PERTH AMBOY,MIDDLESEX,BUCKEYE PERTH AMBOY TERMINAL,110059309699,NJ,08861CHVRN1200S
PORT ALLEN,WEST BATON ROUGE PARISH,ENTERPRISE PRODUCTS OPERATING LLC,110011142566,LA,70767NTRPR2220N
MCPHERSON,MCPHERSON,CHS MCPHERSON REFINERY,110016678969,KS,67460NTNLC2000M
PHILADELPHIA,PHILADELPHIA,PHILADELPHIA ENERGY SOLUTIONS REFINING PHILADELPHIA REFINERY,110000336994,PA,19145TLNTC3144P
TULSA,TULSA,HOLLYFRONTIER TULSA REFINING LLC EAST FACILITY,110000494983,OK,74107SNCLR902W2
NORCO,ST CHARLES PARISH,VALERO REFINING - NEW ORLEANS LLC,110000448659,LA,70047TRNSM14902
DELAWARE CITY,NEW CASTLE,DELAWARE CITY REFINERY,110001148598,DE,19706TXCDL2000W
BELLE CHASSE,PLAQUEMINES PARISH,PHILLIPS 66  - ALLIANCE REFINERY,110064365690,LA,70037LLNCRHIGHW
BEAUMONT,JEFFERSON,EXXONMOBIL OIL BEAUMONT REFINERY,110041990913,TX,77701BMNTREASTE
WOODS CROSS,DAVIS,HOLLYFRONTIER WOODS CROSS REFINING LLC,110000469136,UT,84087PHLLP393SO
TEXAS CITY,GALVESTON,BP CHEMICAL CO  DOCKS DIV,110025330602,TX,77592MCCHMINDUS
CHANNAHON,WILL,EXXONMOBIL OIL CORP JOL IET REFINERY,110000595339,IL,60434MBLJLINTER
PORT ARTHUR,JEFFERSON,TOTAL PETROCHEMICALS & REFINING USA INC-PORT ARTHUR REFI,110000755200,TX,77640FNLNDHIGHW
DICKINSON,STARK,TESORO DICKINSON REFINERY,110059678353,ND,5860WDKTPR38151
ANACORTES,SKAGIT,MARCH POINT COGENERATION CO,110002058380,WA,98221MRCHP655ST
GARYVILLE,ST JOHN THE BAPTIST PARIS,MARATHON PETROLEUM CO LP,110041135580,LA,70051MRTHNHWY61
BEAUMONT,JEFFERSON,COLONIAL TANK FARM,110024422472,TX,77705CLNLT15651
HOUSTON,HARRIS,VALERO ENERGY PARTNERS LP,110000460885,TX,7701WVLRNR971MA
ROCHESTER,BEAVER,VALVOLINE CO INDUSTRIAL COATINGS  (TECTYL),110000329190,PA,15074TCTYL491RA
BUFFALO,ERIE,BOOTH OIL CO,110010710882,NY,14205BTHLCKATHE
DETROIT,WAYNE,MARATHON PETROLEUM CO LP - MICHIGAN REFINING DIV,110000554828,MI,48217MRTHN1300S
PORT ALLEN,WEST BATON ROUGE PARISH,PLACID REFINING CO LLC,110000449863,LA,70767PLCDR1940L
CHICKASAW,MOBILE,GULF ATLANTIC OPERATIONS LLC,110000369501,AL,36611BLCHRVIADU
LAKETON,WABASH,LAKETON REFINING CORP,110000401440,IN,46943LKTNROGDEN
EL DORADO,BUTLER,HOLLYFRONTIER EL DORADO REFINING LLC,110000446134,KS,67042TXCRF1401S
TUSCALOOSA,TUSCALOOSA,MERICHEM CO,110000367175,AL,35404MRCHMONEWA
PHOENIX,MARICOPA,SEAPORT PETROLEUM CORP,110001132621,AZ,85043SPRTP25NOR
RODEO,CONTRA COSTA,PHILLIPS 66 SAN FRANCISCO REFINERY,110000483487,CA,94572NCLSNOLDHI
PRINCETON,BOSSIER PARISH,CALUMET LUBRICANTS CO LP,110000597499,LA,71067CLMTRHC62B
NORCO,ST CHARLES PARISH,SHELL NORCO CHEMICAL PLANT EAST SITE,110013831201,LA,70079SHLLL1205R
REDFORD,WAYNE,GENERAL OIL CO,110002118039,MI,48239GNRLL12680
JAMESTOWN,MCKINLEY,WESTERN REFINING SOUTHWEST INC-GALLUP REFINERY,110011031052,NM,87301GNTRFROUTE
WILMINGTON,LOS ANGELES,VALERO WILMINGTON ASPHALT PLANT,110000476048,CA,90744HNTWY1651A
PLANT CITY,HILLSBOROUGH,INTERNATIONAL PETROLEUM CORP,110000364178,FL,33566NTRNT105SO
WOODS CROSS,DAVIS,SILVER EAGLE REFINING WOODS CROSS,110000499069,UT,84087CRYSN2355S
MARTINEZ,CONTRA COSTA,SHELL OIL PRODUCTS US-MARTINEZ REFINERY,110000483245,CA,94553SHLLL3485P
NEWARK,NEW CASTLE,VP RACING FUELS,110012707801,DE,19714VPRCN16BRO
PHILLIPSBURG,PHILLIPS,COFFEYVILLE RESOURCES TERMINAL  LLC,110017517392,KS,67661FRMLNNORTH
BAKERSFIELD,KERN,SUNLAND REFINING CORPORATION,110018948763,CA,93302SNLND2152C
CHESTER,MIDDLESEX,PURIFICATION TECHNOLOGIES LLC,110000316104,CT,06412CRYDY67WIN
BAKERSFIELD,KERN,KERN OIL & REFINING CO,110000481611,CA,93307KRNLRRR677
BAKERSFIELD,KERN,TRICOR REFINING LLC,110017407153,CA,93308WTCCRCORNE
TONOPAH,NYE,FORELAND REFINING CORP TONOPAH TERMINAL,110000600957,NV,89049FRLNDHWY66
MARRERO,JEFFERSON PARISH,CHEVRONTEXACO USED OIL RECYCLING PLANT,110001254375,LA,70072TXCSD5000R
EVANSTON,UINTA,SILVER EAGLE REFINING-EVANSTON,110000600378,WY,82931XBWHYI80EX
CARSON,LOS ANGELES,TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,110017428988,CA,90749RCPRD1801E
BLAINE,WHATCOM,BP CHERRY POINT REFINERY,110000490157,WA,98248RCCHR4519G
MARTINEZ,CONTRA COSTA,TESORO REFINING & MARKETING CO LLC,110025239659,CA,94553TSCCRAVONR
NORTH POLE,FAIRBANKS NORTH STAR BORO,PETRO STAR INC NORTH POLE REFINERY,110055089149,AK,99705PTRST1200H
NAPERVILLE,DUPAGE,BP NAPERVILLE CAMPUS,110017300678,IL,60566MCRSRWARRE
CORDOVA,WALKER,VULCAN REFINING CO,110001716028,AL,35550VLCNRPOBOX
PAULSBORO,GLOUCESTER,PAULSBORO REFINING CO LLC,110022294569,NJ,08066MBLLCBILLI
COFFEYVILLE,MONTGOMERY,COFFEYVILLE RESOURCES REFINING & MARKETING,110013703206,KS,67337FRMLNNORTH
CARSON,LOS ANGELES,FLETCHER OIL & REFINING CO,110000830986,CA,90745FLTCH24721
PENUELAS,PENUELAS,GULF CHEMICAL CORP,110011912608,PR,00724RCHMNSTATE
WHITING,LAKE,BP PRODUCTS NORTH AMERICA WHITING BUSINESS UNIT,110000398338,IN,46394MCLCX2815I
CORPUS CHRISTI,NUECES,BUCKEYE TEXAS PROCESSING LLC-CORPUS CHRISTI,110063235002,TX,7840WBCKYT151SU
CANTON,STARK,MARATHON PETROLEUM CO LP OHIO REFINING DIV,110000493555,OH,44711SHLND2408G
NEWELL,HANCOCK,PENNZOIL-QUAKER STATE (DBA SOPUS PRODUCTS),110014423659,WV,26050QKRSTRT2XX
SULPHUR,CALCASIEU PARISH,CITGO PETROLEUM CORP,110000597248,LA,70602CTGPTHIGHW
MARSHALL,LYON,FLINT HILLS RESOURCES PINE BEND LLC MARSHALL,110000427119,MN,56258KCHMT901N7
PAULSBORO,GLOUCESTER,AXEON REFINING LLC,110000321189,NJ,08066SVWLC4PARA
CHRISTIANSTED,ST CROIX,LIMETREE BAY TERMINALS LLC,110000307864,VI,00851HSSLVLIMET
FREDONIA,COCONINO,INTERMOUNTAIN REFINING CO INC,110002339719,AZ,86022NTRMN1346N
CONROE,MONTGOMERY,HUNTSMAN PETROCHEMICAL LLC,110000748095,TX,77301TXCCHJEFFE
BRADFORD,MCKEAN,AMERICAN REFINING GROUP INC,110000332220,PA,16701KNDLL77NKE
ROOSEVELT,DUCHESNE,PENNZOIL PRODUCTS CO ROOSEVELT REFINERY,110000913218,UT,84066PNNZLWESTH
GREAT FALLS,CASCADE,CALUMET MONTANA REFINING LLC,110000428500,MT,59414MNTNR19001
CARSON,LOS ANGELES,EQUILON CARSON TERMINAL,110000476164,CA,90745SHLLL20945
KINGSBURG,FRESNO,KES KINGSBURG LP,110000522818,CA,93631KSKNG11765
SOUTH GATE,LOS ANGELES,LUNDAY-THAGARD CO DBA WORLD OIL REFINING,110001187144,CA,90280LNDYT9301S
MERAUX,ST BERNARD PARISH,VALERO REFINING - MERAUX LLC MERAUX REFINERY,110000448837,LA,70075MRPHY2500E
CORPUS CHRISTI,NUECES,VALERO REFINING TEXAS LP CORPUS CHRISTI EAST PLANT,110000501993,TX,78403CSTLR1300C
THIBODAUX,LAFOURCHE PARISH,QPL INC,110000449140,LA,70301QPLNC800SA
OREGON,LUCAS,TWO WASTEWATER TREATMENT UNIT,110000741760,OH,43616TWWST1819W
ARROYO GRANDE,SAN LUIS OBISPO,PHILLIPS 66 CO-SANTA MARIA REFINERY,110000481755,CA,93420NCLSN2555W
CHALMETTE,ST BERNARD PARISH,CHALMETTE REFINING LLC,110045634774,LA,70143TNNCL500WE
ROUSEVILLE,VENANGO,PENNZOIL-QUAKER STATE CO ROUSEVILLE REFY & PACKAGING,110010261242,PA,16344PNNZL2MAIA
MANDAN,MORTON,TESORO MANDAN REFINERY,110025329918,ND,58554MCLCMNORTH
PORT READING,MIDDLESEX,BUCKEYE PORT READING TERMINAL LLC,110056963745,NJ,07064MRDHS750CL
SULPHUR,CALCASIEU PARISH,RAIN CII CARBON LLC LAKE CHARLES CALCINING PLANT (LCCP),110015679853,LA,70665VNTRC1920P
TEXAS CITY,GALVESTON,VALERO REFINING-TEXAS LP,110032911669,TX,77592TXSCTLOOP1
PARACHUTE,GARFIELD,UNOCAL CORP PARACHUTE CREEK SHALE OIL,110000914093,CO,81635NCLPR2717C
MOBILE,MOBILE,LOUISIANA LAND & EXPLORATION MOBILE RIVER TERMINAL,110007403684,AL,36610MBLRVHIGHW
SAINT ROSE,ST CHARLES PARISH,EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US,110000448944,LA,70087HLLPT27009
NORCO,ST CHARLES PARISH,VALERO PARTNERS LA LLC- TERMINAL,110000448659,LA,7007WVLRPR1492R
BENICIA,SOLANO,HUNTWAY REFINING CO,110000482772,CA,94510HNTWY3001P
ABILENE,JONES,DELEK LOGISTICS OPERATING LLC,110000619260,TX,79604RDRFNNORTH
BORGER,HUTCHINSON,PHILLLIPS 66 CO BORGER REFINERY,110042005843,TX,79008PHLLPSTATE
MONT BELVIEU,CHAMBERS,EAST STORAGE / SPLITTER III FACILITY,110006533359,TX,77580DMNDS316SO
ELKHART,ELKHART,SUPERIOR FIBERGLASS & RESINS,110000746809,IN,46514SPRRF28852
BURNHAM,COOK,CALUMET LUBRICANTS CO CALUMET BURNHAM TERMINAL,110002125717,IL,60633CLMTR14000
KAPOLEI,HONOLULU,PAR HAWAII REFINING LLC,110000486322,HI,96707HWNND91325
ALVIN,BRAZORIA,INEOS USA LLC - CHOCOLATE BAYOU PLANT,110000606933,TX,77511MCCHM2MISO
LONG BEACH,LOS ANGELES,EDGINGTON OIL CO,110000476315,CA,90805DGNGT2400E
TEXAS CITY,GALVESTON,BLANCHARD REFINING CO LLC,110028042188,TX,7759WBLNCH2415T
OMAHA,DOUGLAS,CARGILL INC,110000562490,NE,68102CRGLL701AB
PORT ARTHUR,JEFFERSON,MOTIVA-PORT ARTHUR REFINERY,110000464024,TX,77640TXCRFNORTH
EL PASO,EL PASO,WESTERN EL PASO REFINERY,110042061238,TX,79905LPSRF6500T
SANDERSVILLE,JONES,HUNT SOUTHLAND REFINING CO-SANDERSVILLE,110000590842,MS,39477STHLNHIGHW
ALBANY,ALBANY,CIBRO PETROLEUM PRODUCTS INC,110002465662,NY,12202CBRPTPORTO
EL DORADO,UNION,LION OIL CO,110017419667,AR,71730LNLRF1000M
ARKANSAS CITY,COWLEY,TOTAL PETROLEUM INC,110000613346,KS,67005TTLPT1400S
PORTLAND,MULTNOMAH,PARAMOUNT OF OREGON LLC WILLBRIDGE ASPHALT PLANT,110012479683,OR,97210WLLBR5501N
CORPUS CHRISTI,NUECES,VALERO REFINING-TEXAS LP CORPUS CHRISTI WEST PLANT,110000465103,TX,78469VLRRF5900U
LUMBERTON,LAMAR,HUNT SOUTHLAND REFINING CO LUMBERTON,110000605248,MS,39455STHLNHIGHW
SUNRAY,MOORE,VALERO PARTNERS MCKEE,110000465719,TX,7908WVLRPR671FM
FRUITA,MESA,LANDMARK PETROLEUM INC,110015848528,CO,81521LNDMR1493H
CORPUS CHRISTI,NUECES,CITGO REFINING & CHEMICALS CO LP EAST PLANT,110000505640,TX,78408CHMPL1801N
LOVINGTON,LEA,HOLLYFRONTIER NAVAJO REFINING LLC - LEA REFINERY,110000600886,NM,88260LRFNNSOUTH
PORT ARTHUR,JEFFERSON,MOTIVA-PORT ARTHUR TERMINAL,110025330620,TX,77640TXCRFTEXAC
ALSIP,COOK,PREMCOR ALSIP DISTRIBUTION CENTER,110039514665,IL,60803VLRLS36W13
CHESTER,CHESTERFIELD,PRIMARY CORP,110000826358,VA,23831PRMRY13331
BOISE,ADA,SEMMATERIALS  L.P. - BOISE,110001805486,ID,83705KCHMT4303G
MEMPHIS,SHELBY,VALERO REFINING CO - TENNESSEE LLC,110000374087,TN,38109MPCPT543WE
NEWELL,HANCOCK,ERGON WEST VIRGINIA INC,110027982565,WV,26050RGNWSSTATE
